form	count	english candidates	example
airã	1	belaites (1.00), ashbelites (1.00), ahiram (1.00), ahiramites (1.00)	Números 26:38 — The sons of Benjamin after their families: of Bela, the family of the Belaites: of Ashbel, the family of the Ashbelites: of Ahiram, the family of the 
airamitas	1	belaites (1.00), ashbelites (1.00), ahiram (1.00), ahiramites (1.00)	Números 26:38 — The sons of Benjamin after their families: of Bela, the family of the Belaites: of Ashbel, the family of the Ashbelites: of Ahiram, the family of the 
sufã	1	shupham (1.00), shuphamites (1.00), hupham (1.00), huphamites (1.00)	Números 26:39 — Of Shupham, the family of the Shuphamites: of Hupham, the family of the Huphamites.
sufamitas	1	shupham (1.00), shuphamites (1.00), hupham (1.00), huphamites (1.00)	Números 26:39 — Of Shupham, the family of the Shuphamites: of Hupham, the family of the Huphamites.
hufã	1	shupham (1.00), shuphamites (1.00), hupham (1.00), huphamites (1.00)	Números 26:39 — Of Shupham, the family of the Shuphamites: of Hupham, the family of the Huphamites.
hufamitas	1	shupham (1.00), shuphamites (1.00), hupham (1.00), huphamites (1.00)	Números 26:39 — Of Shupham, the family of the Shuphamites: of Hupham, the family of the Huphamites.
arditas	1	ardites (1.00), naamites (1.00), ard (0.67), bela (0.14)	Números 26:40 — And the sons of Bela were Ard and Naaman: of Ard, the family of the Ardites: and of Naaman, the family of the Naamites.
naamanitas	1	ardites (1.00), naamites (1.00), ard (0.67), bela (0.14)	Números 26:40 — And the sons of Bela were Ard and Naaman: of Ard, the family of the Ardites: and of Naaman, the family of the Naamites.
suã	1	shuham (1.00), shuhamites (0.67), dan (0.03), family (0.02)	Números 26:42 — These are the sons of Dan after their families: of Shuham, the family of the Shuhamites. These are the families of Dan after their families.
imnaítas	1	jimna (1.00), jimnites (1.00), jesui (1.00), jesuites (1.00)	Números 26:44 — Of the children of Asher after their families: of Jimna, the family of the Jimnites: of Jesui, the family of the Jesuites: of Beriah, the family of th
isvitas	1	jimna (1.00), jimnites (1.00), jesui (1.00), jesuites (1.00)	Números 26:44 — Of the children of Asher after their families: of Jimna, the family of the Jimnites: of Jesui, the family of the Jesuites: of Beriah, the family of th
beriítas	1	jimna (1.00), jimnites (1.00), jesui (1.00), jesuites (1.00)	Números 26:44 — Of the children of Asher after their families: of Jimna, the family of the Jimnites: of Jesui, the family of the Jesuites: of Beriah, the family of th
heberitas	1	heberites (1.00), malchielites (1.00), malchiel (0.50), beriah (0.18)	Números 26:45 — Of the sons of Beriah: of Heber, the family of the Heberites: of Malchiel, the family of the Malchielites.
malquielitas	1	heberites (1.00), malchielites (1.00), malchiel (0.50), beriah (0.18)	Números 26:45 — Of the sons of Beriah: of Heber, the family of the Heberites: of Malchiel, the family of the Malchielites.
jazeelitas	1	jahzeelites (1.00), gunites (1.00), jahzeel (0.67), guni (0.40)	Números 26:48 — Of the sons of Naphtali after their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:
gunitas	1	jahzeelites (1.00), gunites (1.00), jahzeel (0.67), guni (0.40)	Números 26:48 — Of the sons of Naphtali after their families: of Jahzeel, the family of the Jahzeelites: of Guni, the family of the Gunites:
silemitas	1	jezerites (1.00), shillemites (1.00), shillem (0.67), jezer (0.50)	Números 26:49 — Of Jezer, the family of the Jezerites: of Shillem, the family of the Shillemites.
meraritas	1	merarites (1.00), gershonites (0.20), kohathites (0.13), gershon (0.11)	Números 26:57 — And these are they that were numbered of the Levites after their families: of Gershon, the family of the Gershonites: of Kohath, the family of the Koh
servos-á	1	blowing (0.40), servile (0.15), convocation (0.13), trumpets (0.04)	Números 29:1 — And in the seventh month, on the first day of the month, ye shall have an holy convocation; ye shall do no servile work: it is a day of blowing the tr
sebã	1	shebam (1.00), beon (1.00), nimrah (0.50), ataroth (0.33)	Números 32:3 — Ataroth, and Dibon, and Jazer, and Nimrah, and Heshbon, and Elealeh, and Shebam, and Nebo, and Beon,
beom	1	shebam (1.00), beon (1.00), nimrah (0.50), ataroth (0.33)	Números 32:3 — Ataroth, and Dibon, and Jazer, and Nimrah, and Heshbon, and Elealeh, and Shebam, and Nebo, and Beon,
atarote-sofã	1	atroth (1.00), shophan (1.00), jaazer (0.67), jogbehah (0.67)	Números 32:35 — And Atroth, Shophan, and Jaazer, and Jogbehah,
bete-ninra	1	beth-haran (1.00), beth-nimrah (0.67), folds (0.33), fenced (0.05)	Números 32:36 — And Beth-nimrah, and Beth-haran, fenced cities: and folds for sheep.
bete-harã	1	beth-haran (1.00), beth-nimrah (0.67), folds (0.33), fenced (0.05)	Números 32:36 — And Beth-nimrah, and Beth-haran, fenced cities: and folds for sheep.
eleal	1	kirjathaim (0.50), elealeh (0.33), heshbon (0.05), reuben (0.03)	Números 32:37 — And the children of Reuben built Heshbon, and Elealeh, and Kirjathaim,
hairote	1	marah (0.50), pi-hahiroth (0.40), etham (0.40), days' (0.14)	Números 33:8 — And they departed from before Pi-hahiroth, and passed through the midst of the sea into the wilderness, and went three days' journey in the wilderness
abel-sitim	1	beth-jesimoth (1.00), abel-shittim (1.00), plains (0.06), pitched (0.02)	Números 33:49 — And they pitched by Jordan, from Beth-jesimoth even unto Abel-shittim in the plains of Moab.
hazar-adar	1	hazar-addar (1.00), akrabbim (0.67), azmon (0.50), ascent (0.40)	Números 34:4 — And your border shall turn from the south to the ascent of Akrabbim, and pass on to Zin: and the going forth thereof shall be from the south to Kadesh
zifrom	1	ziphron (1.00), hazar-enan (0.40), goings (0.08), border (0.02)	Números 34:9 — And the border shall go on to Ziphron, and the goings out of it shall be at Hazar-enan: this shall be your north border.
quislom	1	elidad (1.00), chislon (1.00), benjamin (0.01), tribe (0.01)	Números 34:21 — Of the tribe of Benjamin, Elidad the son of Chislon.
jogli	1	jogli (1.00), bukki (0.40), dan (0.03), prince (0.02)	Números 34:22 — And the prince of the tribe of the children of Dan, Bukki the son of Jogli.
siftã	1	shiphtan (1.00), kemuel (0.50), prince (0.02), ephraim (0.01)	Números 34:24 — And the prince of the tribe of the children of Ephraim, Kemuel the son of Shiphtan.
parnaque	1	parnach (1.00), elizaphan (0.40), zebulun (0.04), prince (0.02)	Números 34:25 — And the prince of the tribe of the children of Zebulun, Elizaphan the son of Parnach.
azã	1	paltiel (1.00), azzan (1.00), issachar (0.05), prince (0.02)	Números 34:26 — And the prince of the tribe of the children of Issachar, Paltiel the son of Azzan.
selomi	1	shelomi (1.00), ahihud (0.67), asher (0.05), prince (0.02)	Números 34:27 — And the prince of the tribe of the children of Asher, Ahihud the son of Shelomi.
pedael	1	pedahel (1.00), ammihud (0.18), naphtali (0.04), prince (0.02)	Números 34:28 — And the prince of the tribe of the children of Naphtali, Pedahel the son of Ammihud.
pedrada	1	throwing (0.40), murderer (0.10), wherewith (0.01), smite (0.01)	Números 35:17 — And if he smite him with throwing a stone, wherewith he may die, and he die, he is a murderer: the murderer shall surely be put to death.
esquadrinhadas	1	searched (0.07), hidden (0.07), esau (0.03), sought (0.01)	Obadias 1:6 — How are the things of Esau searched out! how are his hidden things sought up!
engulirão	1	swallow (0.08), drunk (0.06), continually (0.01), mountain (0.01)	Obadias 1:16 — For as ye have drunk upon my holy mountain, so shall all the heathen drink continually, yea, they shall drink, and they shall swallow down, and they s
sefarade	1	sepharad (1.00), zarephath (0.50), canaanites (0.04), possess (0.01)	Obadias 1:20 — And the captivity of this host of the children of Israel shall possess that of the Canaanites, even unto Zarephath; and the captivity of Jerusalem, wh
desavença	1	stiffnecked (0.06), leader (0.06), contention (0.05), zarahemla (0.01)	Ômni 1:28 — Wherefore, they went up into the wilderness. And their leader being a strong and mighty man, and a stiffnecked man, wherefore he caused a contention a
filemom	1	philemon (1.00), fellowlabourer (0.67), timothy (0.22), prisoner (0.13)	Filemom 1:1 — Paul, a prisoner of Jesus Christ, and Timothy our brother, unto Philemon our dearly beloved, and fellowlabourer,
áfia	1	apphia (1.00), archippus (0.67), fellowsoldier (0.67), beloved (0.01)	Filemom 1:2 — And to our beloved Apphia, and Archippus our fellowsoldier, and to the church in thy house:
pretoriana	1	bonds (0.05), palace (0.04), manifest (0.02), places (0.01)	Filipenses 1:13 — So that my bonds in Christ are manifest in all the palace, and in all other places;
confiantemente	1	waxing (1.00), confident (0.22), bold (0.14), bonds (0.05)	Filipenses 1:14 — And many of the brethren in the Lord, waxing confident by my bonds, are much more bold to speak the word without fear.
usurpação	1	robbery (0.20), equal (0.04), form (0.04), thought (0.02)	Filipenses 2:6 — Who, being in the form of God, thought it not robbery to be equal with God:
enviar-vo-lo	1	presently (0.33), soon (0.02), hope (0.01), send (0.01)	Filipenses 2:23 — Him therefore I hope to send presently, so soon as I shall see how it will go with me.
cidadania	1	conversation (0.09), saviour (0.05), whence (0.02), look (0.01)	Filipenses 3:20 — For our conversation is in heaven; from whence also we look for the Saviour, the Lord Jesus Christ:
evódia	1	euodias (1.00), syntyche (1.00), beseech (0.03), mind (0.01)	Filipenses 4:2 — I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord.
síntique	1	euodias (1.00), syntyche (1.00), beseech (0.03), mind (0.01)	Filipenses 4:2 — I beseech Euodias, and beseech Syntyche, that they be of the same mind in the Lord.
filipenses	1	philippians (1.00), communicated (0.50), receiving (0.09), macedonia (0.08)	Filipenses 4:15 — Now ye Philippians know also, that in the beginning of the gospel, when I departed from Macedonia, no church communicated with me as concerning giving
vilipêndio	1	wiped (0.40), dishonour (0.17), wound (0.07), reproach (0.02)	Provérbios 6:33 — A wound and dishonour shall he get; and his reproach shall not be wiped away.
saquitel	1	bag (0.17), home (0.03), money (0.01), appointed (0.01)	Provérbios 7:20 — He hath taken a bag of money with him, and will come home at the day appointed.
trespassassem	1	foundations (0.05), decree (0.03), commandment (0.01), appointed (0.01)	Provérbios 8:29 — When he gave to the sea his decree, that the waters should not pass his commandment: when he appointed the foundations of the earth:
redargue	1	rebuketh (0.40), reproveth (0.33), getteth (0.20), scorner (0.14)	Provérbios 9:7 — He that reproveth a scorner getteth to himself shame: and he that rebuketh a wicked man getteth himself a blot.
displicente	1	slack (0.22), dealeth (0.18), becometh (0.08), diligent (0.05)	Provérbios 10:4 — He becometh poor that dealeth with a slack hand: but the hand of the diligent maketh rich.
apodrecimento	1	virtuous (0.29), rottenness (0.29), crown (0.02), bones (0.02)	Provérbios 12:4 — A virtuous woman is a crown to her husband: but she that maketh ashamed is as rottenness in his bones.
amigavelmente	1	sticketh (1.00), closer (1.00), friendly (0.20), friend (0.03)	Provérbios 18:24 — A man that hath friends must shew himself friendly: and there is a friend that sticketh closer than a brother.
apagar-se-lhe-á	1	obscure (0.50), curseth (0.15), lamp (0.14), whoso (0.02)	Provérbios 20:20 — Whoso curseth his father or his mother, his lamp shall be put out in obscure darkness.
vergões	1	blueness (1.00), cleanseth (0.50), stripes (0.11), wound (0.07)	Provérbios 20:30 — The blueness of a wound cleanseth away evil: so do stripes the inward parts of the belly.
frouxo	1	adversity (0.17), faint (0.04), small (0.01), strength (0.01)	Provérbios 24:10 — If thou faint in the day of adversity, thy strength is small.
gargantilhas	1	reprover (0.67), earring (0.33), ornament (0.20), obedient (0.06)	Provérbios 25:12 — As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.
repreensor	1	reprover (0.67), earring (0.33), ornament (0.20), obedient (0.06)	Provérbios 25:12 — As an earring of gold, and an ornament of fine gold, so is a wise reprover upon an obedient ear.
frouxas	1	legs (0.09), lame (0.06), equal (0.04), fools (0.04)	Provérbios 26:7 — The legs of the lame are not equal: so is a parable in the mouth of fools.
pilão	1	pestle (1.00), bray (0.67), mortar (0.67), foolishness (0.08)	Provérbios 27:22 — Though thou shouldest bray a fool in a mortar among wheat with a pestle, yet will not his foolishness depart from him.
bramante	1	ranging (1.00), roaring (0.11), lion (0.02), ruler (0.02)	Provérbios 28:15 — As a roaring lion, and a ranging bear; so is a wicked ruler over the poor people.
vazão	1	uttereth (0.20), afterwards (0.10), keepeth (0.04), fool (0.03)	Provérbios 29:11 — A fool uttereth all his mind: but a wise man keepeth it in till afterwards.
agur	1	agur (1.00), jakeh (1.00), ucal (1.00), ithiel (0.67)	Provérbios 30:1 — The words of Agur the son of Jakeh, even the prophecy: the man spake unto Ithiel, even unto Ithiel and Ucal,
jaque	1	agur (1.00), jakeh (1.00), ucal (1.00), ithiel (0.67)	Provérbios 30:1 — The words of Agur the son of Jakeh, even the prophecy: the man spake unto Ithiel, even unto Ithiel and Ucal,
ucal	1	agur (1.00), jakeh (1.00), ucal (1.00), ithiel (0.67)	Provérbios 30:1 — The words of Agur the son of Jakeh, even the prophecy: the man spake unto Ithiel, even unto Ithiel and Ucal,
costumeira	1	convenient (0.18), poverty (0.08), remove (0.04), lies (0.03)	Provérbios 30:8 — Remove far from me vanity and lies: give me neither poverty nor riches; feed me with food convenient for me:
queixais	1	jaw (0.40), knives (0.33), teeth (0.04), needy (0.03)	Provérbios 30:14 — There is a generation, whose teeth are as swords, and their jaw teeth as knives, to devour the poor from off the earth, and the needy from among men.
higaiom	1	higgaion (1.00), executeth (0.18), snared (0.18), selah (0.03)	Salmos 9:16 — The LORD is known by the judgment which he executeth: the wicked is snared in the work of his own hands. Higgaion. Selah.
imprecações	1	fraud (0.25), cursing (0.07), deceit (0.06), mischief (0.04)	Salmos 10:7 — His mouth is full of cursing and deceit and fraud: under his tongue is mischief and vanity.
réprobo	1	changeth (0.50), contemned (0.40), honoureth (0.22), sweareth (0.17)	Salmos 15:4 — In whose eyes a vile person is contemned; but he honoureth them that fear the LORD. He that sweareth to his own hurt, and changeth not.
permanence	1	enduring (0.50), altogether (0.05), clean (0.01), judgments (0.01)	Salmos 19:9 — The fear of the LORD is clean, enduring for ever: the judgments of the LORD are true and righteous altogether.
pôr-me-á	1	pavilion (0.29), hide (0.02), trouble (0.02), rock (0.01)	Salmos 27:5 — For in the time of trouble he shall hide me in his pavilion: in the secret of his tabernacle shall he hide me; he shall set me up upon a rock.
